DATE,NGDPSAXDCCAQ
1999-01-01,243810.0
1999-04-01,248543.0
1999-07-01,255327.0
1999-10-01,260247.0
2000-01-01,267547.0
2000-04-01,274862.0
2000-07-01,280442.0
2000-10-01,283220.0
2001-01-01,287481.0
2001-04-01,288215.0
2001-07-01,284701.0
2001-10-01,284146.0
2002-01-01,289660.0
2002-04-01,296473.0
2002-07-01,301036.0
2002-10-01,306525.0
2003-01-01,312522.0
2003-04-01,309430.0
2003-07-01,314574.0
2003-10-01,318221.0
2004-01-01,324054.0
2004-04-01,332037.0
2004-07-01,337870.0
2004-10-01,341770.0
2005-01-01,345081.0
2005-04-01,349902.0
2005-07-01,359248.0
2005-10-01,367359.0
2006-01-01,369000.0
2006-04-01,372679.0
2006-07-01,376234.0
2006-10-01,378691.0
2007-01-01,386819.0
2007-04-01,394153.0
2007-07-01,395562.0
2007-10-01,401127.0
2008-01-01,409324.0
2008-04-01,419362.0
2008-07-01,423628.0
2008-10-01,404727.0
2009-01-01,389308.0
2009-04-01,387122.0
2009-07-01,391981.0
2009-10-01,402923.0
2010-01-01,411008.0
2010-04-01,413310.0
2010-07-01,416343.0
2010-10-01,425387.0
2011-01-01,434488.0
2011-04-01,439963.0
2011-07-01,446437.0
2011-10-01,453175.0
2012-01-01,453780.0
2012-04-01,454746.0
2012-07-01,457659.0
2012-10-01,461016.0
2013-01-01,469211.0
2013-04-01,471648.0
2013-07-01,478107.0
2013-10-01,483281.0
2014-01-01,490863.0
2014-04-01,497101.0
2014-07-01,503448.0
2014-10-01,503486.0
2015-01-01,496075.0
2015-04-01,496230.0
2015-07-01,500216.0
2015-10-01,497920.0
2016-01-01,499605.0
2016-04-01,500538.0
2016-07-01,508855.0
2016-10-01,516537.0
2017-01-01,526987.0
2017-04-01,532505.0
2017-07-01,535438.0
2017-10-01,545711.0
2018-01-01,551767.0
2018-04-01,560017.0
2018-07-01,564738.0
2018-10-01,559153.0
2019-01-01,567228.0
2019-04-01,578170.0
2019-07-01,580619.0
2019-10-01,587546.0
2020-01-01,572004.0
2020-04-01,503983.0
2020-07-01,561621.0
2020-10-01,582919.0
2021-01-01,605126.0
2021-04-01,616713.0
2021-07-01,635451.0
2021-10-01,659833.0
2022-01-01,681646.0
2022-04-01,710536.0
2022-07-01,711218.0
2022-10-01,709889.0
2023-01-01,710336.0
2023-04-01,716479.0
2023-07-01,727217.0
2023-10-01,738108.0
2024-01-01,738605.0
